"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","927","9.6%","24.3%","53.9%","12.2%","7,384","4.9%","6.9%","40.0%","20.0%","9.8%","14.0%","4.4%","88.2%","18.4%","1,016","91.7%","26.0%","1,145","94.9%","20.6%","2,834","91.3%","19.1%","2,389","79.7%","13.3%"
"Floyd County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,139","20.2%","35.5%","40.8%","3.5%","11,254","3.6%","4.8%","44.1%","22.2%","10.4%","10.7%","4.2%","91.6%","14.9%","1,648","90.5%","13.4%","1,910","95.3%","17.4%","4,451","95.0%","18.6%","3,245","85.3%","9.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","558","19.7%","36.9%","42.7%","0.7%","5,388","4.5%","5.2%","45.9%","19.0%","8.7%","11.5%","5.2%","90.2%","16.6%","792","91.8%","12.8%","977","95.4%","19.9%","2,212","94.8%","20.8%","1,407","78.5%","10.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","581","20.7%","34.1%","39.1%","6.2%","5,866","2.7%","4.4%","42.4%","25.2%","12.0%","10.0%","3.3%","92.9%","13.4%","856","89.4%","14.0%","933","95.3%","14.9%","2,239","95.2%","16.4%","1,838","90.5%","8.6%"
"Franklin County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","757","18.5%","38.3%","41.9%","1.3%","7,426","5.3%","10.3%","34.5%","24.3%","11.0%","10.9%","3.6%","84.3%","14.4%","1,081","74.2%","16.8%","1,210","89.3%","22.8%","3,026","88.2%","13.7%","2,109","81.0%","9.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","447","26.0%","34.7%","38.0%","1.3%","3,606","7.9%","10.2%","32.1%","27.4%","9.5%","9.4%","3.4%","81.9%","12.8%","585","67.0%","18.5%","626","85.3%","12.8%","1,503","89.8%","12.1%","892","76.0%","10.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","310","7.7%","43.5%","47.4%","1.3%","3,820","3.0%","10.5%","36.8%","21.4%","12.4%","12.2%","3.7%","86.6%","16.0%","496","82.7%","14.9%","584","93.7%","33.6%","1,523","86.7%","15.4%","1,217","84.6%","8.7%"
"Fremont County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","497","23.7%","35.8%","38.0%","2.4%","5,278","2.9%","6.0%","44.4%","22.6%","6.7%","13.7%","3.7%","91.1%","17.4%","729","91.9%","18.1%","846","96.3%","18.8%","2,257","93.1%","19.1%","1,446","84.4%","13.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","266","22.6%","42.1%","33.8%","1.5%","2,588","3.7%","6.2%","47.1%","20.4%","6.1%","13.2%","3.3%","90.1%","16.5%","358","91.1%","15.9%","445","96.4%","18.0%","1,156","90.9%","18.4%","629","83.5%","12.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","231","25.1%","28.6%","42.9%","3.5%","2,690","2.1%","5.8%","41.7%","24.8%","7.3%","14.2%","4.1%","92.1%","18.3%","371","92.7%","20.2%","401","96.3%","19.7%","1,101","95.5%","19.7%","817","85.2%","14.8%"
"Greene County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","622","17.7%","24.8%","52.3%","5.3%","6,633","2.4%","9.2%","39.1%","20.8%","11.0%","13.7%","3.8%","88.4%","17.5%","847","88.5%","19.5%","1,085","88.8%","19.3%","2,723","93.7%","23.0%","1,978","80.7%","8.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","333","18.3%","28.5%","48.0%","5.1%","3,152","3.0%","9.9%","39.7%","18.6%","9.8%","12.5%","6.5%","87.1%","19.0%","445","82.5%","20.2%","549","83.1%","17.5%","1,357","94.0%","25.5%","801","80.8%","8.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","289","17.0%","20.4%","57.1%","5.5%","3,481","1.9%","8.5%","38.6%","22.8%","12.0%","14.7%","1.4%","89.5%","16.1%","402","95.3%","18.7%","536","94.8%","21.1%","1,366","93.4%","20.4%","1,177","80.7%","8.0%"
"Grundy County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","821","15.3%","20.7%","48.7%","15.2%","8,610","4.5%","4.2%","35.1%","22.8%","11.8%","16.8%","4.8%","91.2%","21.6%","1,251","99.2%","32.5%","1,525","97.0%","33.5%","3,484","94.3%","20.1%","2,350","78.7%","10.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","443","19.0%","21.2%","43.1%","16.7%","4,151","4.1%","5.0%","38.9%","21.9%","9.7%","15.8%","4.6%","90.9%","20.4%","624","99.5%","24.0%","770","95.1%","33.4%","1,756","93.5%","17.2%","1,001","77.8%","13.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378","11.1%","20.1%","55.3%","13.5%","4,459","5.0%","3.5%","31.5%","23.7%","13.7%","17.7%","5.0%","91.5%","22.7%","627","98.9%","41.0%","755","98.9%","33.6%","1,728","95.1%","23.1%","1,349","79.4%","7.6%"
"Guthrie County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","594","15.2%","36.7%","36.7%","11.4%","7,798","2.7%","6.1%","39.5%","23.9%","8.9%","15.2%","3.7%","91.2%","18.9%","1,011","93.9%","27.0%","1,394","95.3%","20.4%","3,240","95.4%","21.7%","2,153","80.9%","9.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","313","19.5%","48.6%","31.3%","0.6%","3,770","3.1%","6.5%","41.6%","21.1%","8.5%","14.3%","4.8%","90.4%","19.2%","514","95.5%","24.7%","692","92.9%","19.4%","1,646","95.2%","21.3%","918","77.0%","12.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","281","10.3%","23.5%","42.7%","23.5%","4,028","2.3%","5.8%","37.6%","26.4%","9.3%","16.0%","2.6%","91.9%","18.6%","497","92.2%","29.4%","702","97.7%","21.5%","1,594","95.5%","22.0%","1,235","83.7%","8.2%"
"Hamilton County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,148","19.2%","36.7%","37.2%","7.0%","10,933","3.3%","6.4%","37.4%","24.7%","11.8%","13.1%","3.3%","90.3%","16.4%","1,866","91.4%","19.5%","1,921","93.2%","19.4%","4,277","91.8%","19.4%","2,869","85.6%","7.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","583","17.7%","36.7%","40.7%","5.0%","5,343","3.3%","8.3%","39.2%","24.0%","10.8%","10.8%","3.6%","88.4%","14.4%","990","90.6%","16.6%","992","90.5%","15.1%","2,156","90.5%","15.5%","1,205","81.0%","10.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","565","20.7%","36.6%","33.6%","9.0%","5,590","3.2%","4.6%","35.7%","25.4%","12.8%","15.3%","3.0%","92.2%","18.3%","876","92.2%","22.8%","929","96.0%","23.9%","2,121","93.1%","23.3%","1,664","88.9%","6.3%"
"Hancock County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","731","19.8%","33.2%","43.8%","3.1%","8,061","5.2%","5.3%","39.4%","22.7%","12.0%","11.6%","3.8%","89.5%","15.4%","1,211","92.0%","14.4%","1,278","93.2%","19.2%","3,421","93.2%","18.6%","2,151","80.1%","8.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378","22.5%","36.2%","37.8%","3.4%","3,931","5.3%","4.8%","42.6%","21.2%","11.1%","10.2%","4.8%","89.9%","15.0%","606","98.2%","9.7%","666","91.3%","16.7%","1,765","92.5%","19.2%","894","78.1%","9.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","353","17.0%","30.0%","50.1%","2.8%","4,130","5.1%","5.7%","36.4%","24.0%","13.0%","13.0%","2.9%","89.2%","15.9%","605","85.8%","19.0%","612","95.3%","21.9%","1,656","94.1%","18.1%","1,257","81.5%","8.5%"
"Hardin County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,391","8.7%","27.0%","59.9%","4.4%","12,080","3.7%","5.8%","34.6%","22.1%","13.6%","13.5%","6.7%","90.5%","20.2%","1,638","94.4%","29.2%","1,952","95.2%","14.6%","4,784","93.6%","24.3%","3,706","82.2%","14.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","798","8.8%","28.4%","55.5%","7.3%","5,772","4.4%","7.0%","35.4%","20.0%","10.7%","12.2%","10.3%","88.6%","22.5%","838","95.2%","23.3%","967","91.1%","15.1%","2,442","91.4%","26.1%","1,525","79.0%","21.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","593","8.6%","25.1%","65.8%","0.5%","6,308","3.1%","4.7%","33.8%","24.0%","16.3%","14.7%","3.4%","92.2%","18.2%","800","93.5%","35.4%","985","99.2%","14.1%","2,342","96.0%","22.3%","2,181","84.5%","9.2%"
"Harrison County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,018","20.7%","30.4%","40.3%","8.6%","10,382","3.0%","6.6%","41.8%","24.1%","9.0%","12.4%","3.0%","90.4%","15.5%","1,486","93.1%","23.0%","1,966","97.9%","24.1%","4,268","92.8%","14.5%","2,662","79.5%","6.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","562","29.5%","32.2%","26.5%","11.7%","5,001","3.8%","6.7%","42.7%","23.5%","8.4%","12.4%","2.5%","89.4%","14.9%","752","92.8%","21.1%","988","98.3%","20.7%","2,135","91.4%","14.1%","1,126","75.7%","7.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","456","9.9%","28.1%","57.2%","4.8%","5,381","2.3%","6.4%","41.0%","24.8%","9.5%","12.5%","3.5%","91.3%","16.0%","734","93.3%","24.9%","978","97.5%","27.4%","2,133","94.2%","14.9%","1,536","82.2%","6.1%"
"Henry County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,762","12.5%","37.2%","43.6%","6.6%","13,485","3.5%","7.3%","37.9%","22.1%","9.4%","14.2%","5.7%","89.2%","19.9%","2,279","89.4%","23.7%","2,659","91.7%","18.7%","5,448","90.8%","21.7%","3,099","84.2%","14.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","809","21.4%","37.5%","37.2%","4.0%","6,777","4.1%","7.9%","37.2%","22.2%","8.9%","13.8%","5.9%","88.0%","19.7%","1,228","89.8%","23.2%","1,424","89.7%","19.2%","2,817","89.1%","18.9%","1,308","82.0%","18.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","953","4.9%","37.0%","49.1%","8.9%","6,708","2.8%","6.7%","38.6%","21.9%","10.0%","14.6%","5.5%","90.5%","20.1%","1,051","89.0%","24.3%","1,235","94.1%","18.0%","2,631","92.7%","24.7%","1,791","85.8%","12.2%"
"Howard County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","679","17.4%","34.2%","46.2%","2.2%","6,518","8.0%","5.2%","45.4%","21.2%","8.7%","8.5%","3.0%","86.8%","11.5%","1,047","86.9%","15.0%","1,105","98.8%","10.8%","2,514","92.8%","15.3%","1,852","71.4%","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","318","18.2%","38.1%","42.5%","1.3%","3,192","8.4%","6.1%","50.9%","19.8%","6.8%","6.5%","1.4%","85.5%","8.0%","528","84.1%","6.3%","565","97.7%","6.9%","1,313","89.9%","11.6%","786","70.1%","3.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","361","16.6%","30.7%","49.6%","3.0%","3,326","7.6%","4.2%","40.2%","22.5%","10.6%","10.3%","4.5%","88.1%","14.8%","519","89.8%","23.9%","540","100.0%","14.8%","1,201","96.0%","19.4%","1,066","72.4%","5.2%"
"Humboldt County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","745","17.2%","23.5%","52.9%","6.4%","6,857","3.6%","7.6%","40.4%","21.0%","11.5%","11.7%","4.2%","88.8%","15.9%","1,007","97.0%","16.5%","1,076","90.6%","15.9%","2,711","89.7%","19.7%","2,063","82.7%","10.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","381","28.1%","24.1%","43.8%","3.9%","3,311","4.6%","6.8%","42.9%","19.9%","9.8%","11.4%","4.6%","88.6%","16.1%","529","97.0%","10.6%","548","92.5%","12.6%","1,357","89.5%","22.1%","877","79.8%","12.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","364","5.8%","22.8%","62.4%","9.1%","3,546","2.7%","8.3%","38.1%","22.1%","13.1%","11.8%","3.8%","89.0%","15.7%","478","97.1%","23.0%","528","88.6%","19.3%","1,354","89.8%","17.4%","1,186","84.9%","9.1%"
"Ida County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","493","12.0%","39.8%","39.1%","9.1%","4,957","4.2%","5.7%","41.1%","23.6%","7.1%","13.7%","4.6%","90.1%","18.3%","666","98.2%","27.2%","772","94.6%","25.6%","2,028","93.2%","17.9%","1,491","79.9%","11.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","240","15.0%","47.5%","33.8%","3.8%","2,386","5.0%","5.3%","41.8%","21.9%","7.8%","12.9%","5.3%","89.6%","18.2%","343","98.8%","23.0%","395","96.5%","20.0%","1,026","94.5%","17.9%","622","72.2%","14.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253","9.1%","32.4%","44.3%","14.2%","2,571","3.5%","6.0%","40.4%","25.2%","6.5%","14.4%","4.0%","90.5%","18.4%","323","97.5%","31.6%","377","92.6%","31.6%","1,002","91.9%","17.9%","869","85.5%","8.4%"
"Iowa County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","984","16.0%","27.4%","47.5%","9.1%","11,304","3.6%","4.4%","40.8%","21.4%","10.5%","14.8%","4.4%","91.9%","19.2%","1,704","91.5%","26.1%","2,130","97.0%","26.3%","4,665","96.7%","19.9%","2,805","80.5%","8.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","504","14.3%","34.3%","46.8%","4.6%","5,512","3.5%","4.2%","44.6%","19.6%","8.9%","14.8%","4.3%","92.3%","19.1%","867","91.1%","29.2%","1,076","97.4%","23.6%","2,415","96.4%","18.1%","1,154","79.6%","9.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","480","17.7%","20.2%","48.1%","14.0%","5,792","3.7%","4.6%","37.2%","23.1%","12.0%","14.8%","4.6%","91.7%","19.4%","837","92.0%","22.8%","1,054","96.6%","29.0%","2,250","97.0%","21.8%","1,651","81.1%","8.1%"
"Jackson County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,376","19.4%","38.1%","34.0%","8.5%","13,872","6.0%","6.5%","45.7%","19.4%","7.3%","10.8%","4.2%","87.4%","15.0%","1,894","94.1%","17.6%","2,579","93.8%","15.9%","5,757","91.2%","16.7%","3,642","73.6%","10.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","727","22.6%","42.8%","29.0%","5.6%","6,722","7.2%","6.1%","48.5%","17.9%","6.2%","9.8%","4.1%","86.7%","14.0%","954","92.2%","11.8%","1,282","95.9%","14.2%","2,900","88.7%","15.1%","1,586","72.2%","13.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","649","15.9%","32.8%","39.6%","11.7%","7,150","4.9%","7.0%","43.0%","20.9%","8.3%","11.7%","4.3%","88.2%","15.9%","940","96.0%","23.4%","1,297","91.8%","17.6%","2,857","93.7%","18.4%","2,056","74.6%","8.1%"
"Jasper County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,590","12.5%","39.7%","40.0%","7.8%","25,933","3.7%","6.3%","42.8%","22.6%","8.0%","11.7%","4.9%","90.0%","16.6%","4,404","89.6%","16.8%","5,052","91.8%","22.4%","10,468","94.2%","17.6%","6,009","81.2%","9.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,423","14.1%","48.3%","29.0%","8.6%","13,051","4.4%","6.9%","45.0%","19.8%","7.2%","12.0%","4.6%","88.7%","16.6%","2,471","88.1%","14.5%","2,704","89.6%","18.2%","5,332","93.1%","19.0%","2,544","79.2%","11.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,167","10.5%","29.1%","53.6%","6.8%","12,882","3.0%","5.7%","40.6%","25.4%","8.7%","11.5%","5.1%","91.3%","16.6%","1,933","91.5%","19.7%","2,348","94.4%","27.2%","5,136","95.5%","16.2%","3,465","82.7%","8.2%"
"Jefferson County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,465","20.8%","28.3%","34.2%","16.7%","11,949","2.9%","5.6%","32.8%","18.1%","10.4%","17.0%","13.1%","91.5%","30.1%","1,808","94.0%","33.4%","1,832","89.4%","19.8%","5,807","94.6%","36.4%","2,502","83.8%","20.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","744","16.7%","22.6%","36.6%","24.2%","5,770","2.9%","5.9%","33.4%","16.7%","10.8%","15.6%","14.7%","91.2%","30.3%","987","96.1%","33.8%","894","88.3%","10.6%","2,893","93.1%","37.1%","996","83.3%","24.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","721","25.1%","34.1%","31.8%","9.0%","6,179","2.9%","5.4%","32.2%","19.5%","10.1%","18.3%","11.7%","91.7%","30.0%","821","91.4%","32.9%","938","90.5%","28.5%","2,914","96.2%","35.7%","1,506","84.1%","18.1%"
"Johnson County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,940","2.8%","13.3%","68.8%","15.1%","73,111","2.4%","2.5%","18.2%","17.6%","8.5%","27.6%","23.1%","95.0%","50.8%","20,756","96.0%","58.2%","15,121","95.8%","55.0%","26,771","96.5%","48.8%","10,463","88.5%","35.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,452","2.9%","14.0%","68.9%","14.2%","36,086","2.4%","2.7%","18.8%","19.4%","7.5%","25.4%","23.8%","94.9%","49.3%","10,777","95.5%","51.9%","7,786","95.3%","52.1%","13,036","97.0%","48.1%","4,487","86.7%","41.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,488","2.7%","12.6%","68.8%","16.0%","37,025","2.5%","2.4%","17.6%","15.8%","9.5%","29.8%","22.5%","95.2%","52.3%","9,979","96.5%","64.9%","7,335","96.3%","58.0%","13,735","95.9%","49.6%","5,976","89.9%","30.4%"
"Jones County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,462","22.4%","45.9%","29.5%","2.2%","14,543","3.2%","7.4%","45.1%","19.0%","9.3%","11.9%","4.0%","89.4%","15.9%","2,347","91.9%","18.3%","2,802","95.5%","19.0%","5,919","91.2%","17.4%","3,475","79.8%","9.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","816","31.4%","51.0%","17.6%","0.0%","7,567","4.1%","8.4%","50.9%","16.4%","7.0%","9.3%","3.9%","87.5%","13.2%","1,323","87.9%","11.3%","1,559","93.5%","13.7%","3,159","90.4%","14.9%","1,526","75.1%","10.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","646","11.0%","39.5%","44.6%","5.0%","6,976","2.2%","6.3%","38.8%","21.9%","11.8%","14.8%","4.2%","91.5%","19.0%","1,024","97.2%","27.4%","1,243","98.1%","25.7%","2,760","92.0%","20.2%","1,949","83.5%","8.4%"
"Keokuk County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","712","14.7%","39.2%","41.3%","4.8%","7,324","4.6%","5.7%","45.4%","21.2%","9.3%","10.5%","3.2%","89.7%","13.8%","1,073","96.1%","20.0%","1,247","95.8%","14.1%","2,985","92.1%","15.4%","2,019","78.9%","7.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","380","17.9%","52.4%","25.0%","4.7%","3,568","5.2%","5.8%","50.8%","18.3%","8.3%","9.1%","2.6%","89.0%","11.6%","555","94.8%","15.9%","627","93.6%","7.5%","1,535","90.5%","13.0%","851","79.1%","9.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","332","11.1%","24.1%","59.9%","4.8%","3,756","4.0%","5.7%","40.3%","23.9%","10.3%","11.9%","3.9%","90.3%","15.8%","518","97.5%","24.5%","620","98.1%","20.8%","1,450","93.7%","17.9%","1,168","78.9%","6.7%"
"Kossuth County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,008","19.0%","28.2%","45.7%","7.0%","11,103","4.7%","5.4%","40.3%","21.5%","11.5%","12.2%","4.5%","90.0%","16.7%","1,371","91.5%","20.8%","1,675","92.9%","21.1%","4,616","94.3%","19.1%","3,441","82.2%","9.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","536","12.9%","28.7%","50.7%","7.6%","5,374","4.4%","5.6%","43.0%","21.1%","10.5%","10.1%","5.2%","90.0%","15.4%","692","95.1%","25.7%","841","93.3%","16.5%","2,365","94.0%","15.8%","1,476","79.5%","9.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","472","26.1%","27.5%","40.0%","6.4%","5,729","4.9%","5.2%","37.7%","21.9%","12.4%","14.1%","3.8%","89.9%","17.9%","679","87.9%","15.8%","834","92.4%","25.7%","2,251","94.6%","22.7%","1,965","84.2%","9.9%"
"Lee County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,827","19.6%","30.0%","45.4%","5.0%","24,989","3.7%","9.9%","40.9%","22.3%","8.3%","9.8%","5.0%","86.3%","14.8%","3,977","84.4%","13.1%","4,444","89.3%","16.0%","10,537","92.1%","17.6%","6,031","75.3%","10.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,575","21.7%","30.8%","43.5%","4.1%","12,339","4.7%","10.3%","43.3%","20.5%","7.3%","8.6%","5.3%","85.0%","14.0%","2,139","81.8%","8.6%","2,327","88.7%","12.8%","5,342","90.7%","17.5%","2,531","72.3%","12.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,252","17.0%","29.0%","47.8%","6.2%","12,650","2.8%","9.6%","38.6%","24.0%","9.3%","11.0%","4.7%","87.6%","15.6%","1,838","87.5%","18.2%","2,117","90.0%","19.6%","5,195","93.5%","17.7%","3,500","77.5%","8.9%"
"Linn County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,077","11.7%","24.5%","52.8%","11.0%","136,245","1.8%","5.0%","28.7%","23.7%","11.2%","21.4%","8.3%","93.2%","29.6%","28,298","94.7%","34.1%","28,531","95.5%","35.5%","52,944","95.3%","30.6%","26,472","84.9%","16.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,036","12.9%","28.3%","50.1%","8.7%","65,924","1.9%","5.4%","28.9%","23.5%","10.1%","20.9%","9.4%","92.8%","30.3%","14,273","94.1%","27.3%","14,316","94.5%","35.6%","26,146","94.5%","32.7%","11,189","84.9%","21.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,041","10.5%","20.7%","55.5%","13.3%","70,321","1.8%","4.6%","28.5%","23.8%","12.2%","21.8%","7.3%","93.6%","29.1%","14,025","95.4%","41.0%","14,215","96.5%","35.5%","26,798","96.1%","28.5%","15,283","84.9%","13.2%"
"Louisa County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","828","18.5%","41.3%","35.1%","5.1%","7,670","7.8%","10.7%","41.8%","17.9%","8.8%","10.2%","2.9%","81.5%","13.1%","1,339","81.8%","9.5%","1,515","83.3%","10.3%","3,088","83.4%","16.7%","1,728","76.6%","12.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","433","25.9%","45.7%","27.0%","1.4%","3,831","8.7%","13.3%","43.9%","16.3%","6.3%","9.1%","2.4%","78.0%","11.5%","693","78.6%","6.6%","780","85.9%","10.8%","1,615","78.6%","15.0%","743","68.0%","9.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","395","10.4%","36.5%","44.1%","9.1%","3,839","6.9%","8.1%","39.8%","19.4%","11.2%","11.4%","3.4%","85.0%","14.7%","646","85.1%","12.5%","735","80.5%","9.8%","1,473","88.6%","18.5%","985","83.0%","14.1%"
"Lucas County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
