"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","488","17.6%","20.5%","51.2%","10.7%","5,583","3.0%","4.1%","31.1%","26.7%","14.4%","17.3%","3.4%","92.9%","20.7%","723","92.3%","28.8%","736","94.8%","31.8%","2,251","95.6%","24.6%","1,873","89.0%","8.4%"
"Lee County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,904","15.6%","34.5%","42.8%","7.0%","24,978","2.7%","6.3%","42.5%","22.1%","10.9%","10.9%","4.6%","91.0%","15.5%","4,262","93.4%","16.6%","3,922","95.1%","20.2%","10,486","92.4%","16.1%","6,308","84.4%","11.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,547","15.4%","40.3%","39.4%","4.8%","12,351","2.7%","6.0%","44.8%","22.2%","9.9%","9.6%","4.7%","91.2%","14.4%","2,350","92.4%","11.1%","2,036","94.2%","11.3%","5,283","92.2%","16.9%","2,682","86.1%","14.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,357","15.8%","27.9%","46.7%","9.5%","12,627","2.7%","6.6%","40.3%","21.9%","11.8%","12.1%","4.5%","90.7%","16.7%","1,912","94.5%","23.2%","1,886","96.2%","29.9%","5,203","92.7%","15.3%","3,626","83.1%","8.4%"
"Linn County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,196","11.3%","24.3%","54.0%","10.4%","141,917","1.8%","4.1%","27.2%","23.5%","11.7%","21.8%","9.9%","94.1%","31.7%","29,101","95.8%","35.9%","27,903","95.1%","37.7%","55,745","95.1%","31.6%","29,168","89.6%","22.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,899","12.7%","28.1%","49.5%","9.7%","68,686","1.8%","4.7%","27.3%","23.4%","10.5%","21.4%","10.9%","93.5%","32.3%","14,535","95.0%","31.6%","13,850","93.5%","34.4%","27,791","94.3%","33.5%","12,510","90.1%","27.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,297","9.8%","20.2%","58.8%","11.2%","73,231","1.8%","3.5%","27.0%","23.5%","12.9%","22.2%","9.1%","94.7%","31.2%","14,566","96.6%","40.1%","14,053","96.6%","40.9%","27,954","96.0%","29.8%","16,658","89.2%","17.7%"
"Louisa County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","884","17.8%","38.3%","38.1%","5.8%","7,641","7.9%","9.0%","39.3%","20.0%","9.5%","10.9%","3.2%","83.1%","14.2%","1,229","87.7%","14.6%","1,378","76.1%","9.6%","3,254","86.0%","16.3%","1,780","79.9%","13.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","496","21.6%","41.5%","33.3%","3.6%","3,833","8.4%","9.9%","43.0%","18.3%","6.3%","11.2%","2.9%","81.8%","14.1%","627","84.2%","13.6%","719","75.2%","9.0%","1,699","81.6%","16.0%","788","86.0%","15.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","388","12.9%","34.3%","44.3%","8.5%","3,808","7.5%","8.2%","35.6%","21.8%","12.8%","10.7%","3.5%","84.4%","14.2%","602","91.4%","15.8%","659","76.9%","10.2%","1,555","90.8%","16.6%","992","75.0%","12.2%"
"Lucas County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","631","9.8%","38.2%","46.0%","6.0%","6,095","3.8%","5.6%","45.3%","22.3%","10.4%","10.2%","2.5%","90.6%","12.7%","793","94.5%","16.6%","923","95.7%","14.1%","2,559","91.7%","14.6%","1,820","84.9%","7.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","342","12.9%","40.1%","42.7%","4.4%","2,999","3.9%","6.1%","47.5%","21.9%","8.2%","9.3%","3.2%","90.1%","12.5%","392","97.4%","12.5%","479","97.5%","11.5%","1,307","91.0%","14.7%","821","80.8%","9.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","289","6.2%","36.0%","49.8%","8.0%","3,096","3.6%","5.1%","43.1%","22.7%","12.6%","11.1%","1.8%","91.2%","12.9%","401","91.5%","20.7%","444","93.7%","16.9%","1,252","92.5%","14.5%","999","88.4%","5.9%"
"Lyon County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","807","13.3%","33.7%","43.4%","9.7%","7,610","5.8%","3.6%","38.5%","19.8%","12.7%","14.8%","4.8%","90.6%","19.6%","1,305","95.8%","25.7%","1,326","97.8%","30.1%","3,024","94.9%","16.2%","1,955","75.5%","13.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","424","17.9%","39.9%","37.0%","5.2%","3,727","7.5%","3.6%","38.4%","19.3%","11.4%","15.5%","4.3%","88.9%","19.8%","672","96.1%","23.1%","662","98.0%","29.6%","1,561","92.2%","16.5%","832","69.6%","15.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","383","8.1%","26.9%","50.4%","14.6%","3,883","4.3%","3.5%","38.6%","20.2%","14.0%","14.1%","5.3%","92.2%","19.4%","633","95.4%","28.6%","664","97.6%","30.6%","1,463","97.7%","15.9%","1,123","80.0%","12.3%"
"Madison County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","945","17.8%","25.2%","43.8%","13.2%","10,537","1.3%","4.2%","39.8%","22.0%","11.0%","16.3%","5.4%","94.4%","21.7%","1,594","97.1%","18.8%","2,126","95.9%","30.0%","4,395","94.0%","25.0%","2,422","92.2%","10.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","499","18.0%","21.6%","44.7%","15.6%","5,110","1.6%","5.7%","43.2%","19.5%","10.1%","13.6%","6.2%","92.6%","19.8%","793","94.2%","14.5%","1,051","94.0%","22.2%","2,190","92.6%","23.9%","1,076","90.1%","13.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","446","17.5%","29.1%","42.8%","10.5%","5,427","1.1%","2.8%","36.6%","24.3%","11.8%","18.8%","4.6%","96.1%","23.4%","801","100.0%","23.0%","1,075","97.7%","37.6%","2,205","95.3%","26.1%","1,346","93.8%","7.9%"
"Mahaska County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,089","7.1%","24.6%","58.7%","9.6%","15,014","3.0%","6.2%","38.1%","21.0%","9.3%","16.8%","5.7%","90.8%","22.4%","2,725","94.8%","34.1%","2,546","96.0%","23.2%","6,008","91.7%","20.2%","3,735","82.9%","17.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,156","8.0%","26.8%","59.2%","6.0%","7,349","2.8%","7.2%","39.8%","21.6%","7.5%","15.2%","5.9%","89.9%","21.1%","1,386","94.0%","27.0%","1,285","95.4%","23.1%","3,074","91.5%","19.3%","1,604","78.9%","17.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","933","6.0%","21.8%","58.2%","14.0%","7,665","3.2%","5.2%","36.4%","20.5%","11.1%","18.3%","5.5%","91.7%","23.8%","1,339","95.7%","41.5%","1,261","96.6%","23.3%","2,934","91.9%","21.1%","2,131","86.0%","16.5%"
"Marion County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,506","8.4%","26.0%","58.2%","7.4%","21,641","3.2%","4.0%","35.0%","22.7%","11.1%","17.5%","6.5%","92.8%","24.0%","3,729","95.8%","35.2%","3,818","96.4%","31.2%","8,756","94.5%","22.2%","5,338","85.5%","14.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,766","7.8%","25.9%","61.6%","4.7%","10,588","2.9%","3.8%","37.1%","22.6%","10.4%","15.1%","8.0%","93.2%","23.1%","1,902","96.1%","38.2%","1,954","97.9%","23.1%","4,382","94.2%","21.3%","2,350","85.3%","14.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,740","8.9%","26.0%","54.9%","10.2%","11,053","3.4%","4.1%","33.1%","22.8%","11.8%","19.8%","5.0%","92.5%","24.8%","1,827","95.5%","32.2%","1,864","94.7%","39.6%","4,374","94.9%","23.1%","2,988","85.7%","13.7%"
"Marshall County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,489","25.5%","31.5%","37.3%","5.7%","27,157","8.4%","6.9%","32.9%","23.0%","8.6%","14.4%","5.7%","84.7%","20.1%","4,931","78.1%","24.8%","4,441","83.3%","19.6%","10,935","85.8%","21.0%","6,850","88.4%","15.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,860","29.4%","37.3%","30.7%","2.7%","13,420","9.5%","7.9%","34.9%","20.9%","7.5%","13.6%","5.5%","82.5%","19.1%","2,560","72.7%","18.4%","2,187","84.4%","17.1%","5,598","83.4%","20.2%","3,075","87.9%","19.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,629","21.0%","25.0%","44.9%","9.1%","13,737","7.3%","6.0%","30.9%","25.1%","9.6%","15.2%","5.9%","86.7%","21.1%","2,371","84.0%","31.8%","2,254","82.3%","21.9%","5,337","88.3%","21.8%","3,775","88.8%","12.9%"
"Mills County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,007","23.0%","27.5%","47.7%","1.8%","10,230","2.8%","3.5%","36.2%","24.3%","8.8%","16.5%","7.9%","93.7%","24.4%","1,514","96.3%","26.0%","1,802","91.9%","28.2%","4,726","96.7%","26.9%","2,188","86.9%","14.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","550","27.3%","33.5%","39.3%","0.0%","4,970","2.7%","4.3%","36.3%","23.0%","8.8%","15.3%","9.6%","93.0%","24.9%","718","95.1%","27.7%","902","93.8%","23.2%","2,335","95.7%","27.6%","1,015","84.6%","18.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","457","17.9%","20.4%","57.8%","3.9%","5,260","2.8%","2.8%","36.2%","25.6%","8.8%","17.6%","6.2%","94.4%","23.8%","796","97.4%","24.4%","900","90.0%","33.3%","2,391","97.7%","26.1%","1,173","88.9%","11.4%"
"Mitchell County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","765","17.4%","43.7%","31.8%","7.2%","7,391","5.2%","4.2%","44.4%","17.1%","14.0%","11.5%","3.6%","90.6%","15.1%","1,013","89.0%","17.8%","1,064","88.8%","18.7%","2,966","95.2%","12.8%","2,348","86.3%","15.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","394","11.4%","47.0%","31.5%","10.2%","3,576","5.4%","4.6%","46.6%","16.0%","12.8%","11.4%","3.3%","90.0%","14.7%","548","87.8%","8.9%","528","88.3%","14.2%","1,515","95.0%","13.3%","985","84.6%","20.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","371","23.7%","40.2%","32.1%","4.0%","3,815","5.0%","3.8%","42.3%","18.2%","15.2%","11.5%","3.9%","91.2%","15.4%","465","90.5%","28.2%","536","89.4%","23.1%","1,451","95.5%","12.4%","1,363","87.5%","11.2%"
"Monona County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","573","16.8%","40.3%","39.4%","3.5%","6,594","3.8%","5.1%","44.7%","23.2%","9.3%","10.5%","3.4%","91.1%","14.0%","829","92.2%","26.2%","927","94.8%","15.1%","2,645","93.3%","12.6%","2,193","86.5%","10.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","319","15.4%","47.6%","37.0%","0.0%","3,194","5.1%","5.3%","47.7%","23.0%","5.8%","9.8%","3.4%","89.6%","13.1%","426","88.7%","20.9%","495","98.6%","11.3%","1,336","91.5%","12.2%","937","82.6%","11.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254","18.5%","31.1%","42.5%","7.9%","3,400","2.6%","4.9%","41.9%","23.3%","12.5%","11.2%","3.5%","92.5%","14.7%","403","95.8%","31.8%","432","90.5%","19.4%","1,309","95.2%","13.0%","1,256","89.3%","9.5%"
"Monroe County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","588","15.3%","32.0%","33.0%","19.7%","5,504","4.5%","7.3%","44.1%","16.0%","10.9%","12.9%","4.3%","88.2%","17.3%","848","86.1%","25.8%","935","94.5%","31.0%","2,220","92.6%","14.2%","1,501","79.1%","8.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","303","17.8%","43.6%","24.8%","13.9%","2,697","4.2%","7.6%","48.6%","15.2%","7.9%","14.1%","2.3%","88.2%","16.5%","429","87.6%","28.0%","476","91.4%","27.5%","1,120","92.0%","11.5%","672","79.9%","9.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","285","12.6%","19.6%","41.8%","26.0%","2,807","4.8%","6.9%","39.7%","16.7%","13.9%","11.8%","6.2%","88.3%","18.0%","419","84.5%","23.6%","459","97.8%","34.6%","1,100","93.2%","17.0%","829","78.4%","7.4%"
"Montgomery County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","715","23.6%","42.7%","32.9%","0.8%","7,440","4.7%","7.4%","36.3%","23.4%","12.8%","11.1%","4.2%","87.9%","15.4%","934","88.1%","23.1%","1,206","87.1%","18.0%","3,152","89.2%","15.8%","2,148","86.4%","9.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","351","22.2%","53.0%","24.8%","0.0%","3,552","6.3%","11.1%","36.8%","18.0%","10.9%","12.4%","4.4%","82.6%","16.9%","478","82.0%","19.0%","600","78.7%","18.5%","1,576","84.7%","15.9%","898","81.7%","16.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","364","25.0%","32.7%","40.7%","1.6%","3,888","3.3%","3.9%","35.9%","28.3%","14.5%","10.0%","4.0%","92.8%","14.0%","456","94.5%","27.4%","606","95.5%","17.5%","1,576","93.7%","15.6%","1,250","89.7%","5.3%"
"Muscatine County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,559","15.6%","31.9%","44.3%","8.2%","28,285","7.0%","7.8%","34.4%","22.0%","10.5%","12.9%","5.3%","85.1%","18.2%","5,193","86.7%","17.9%","5,259","87.0%","22.9%","11,647","87.8%","18.2%","6,186","77.2%","14.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,810","20.1%","33.8%","41.5%","4.6%","13,870","7.5%","8.7%","35.8%","20.6%","8.5%","13.8%","5.0%","83.8%","18.8%","2,665","84.6%","17.5%","2,620","86.8%","21.4%","5,840","85.8%","19.7%","2,745","76.0%","15.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,749","10.9%","30.0%","47.2%","12.0%","14,415","6.6%","7.0%","33.0%","23.4%","12.4%","12.1%","5.5%","86.4%","17.6%","2,528","88.8%","18.4%","2,639","87.2%","24.4%","5,807","89.9%","16.7%","3,441","78.1%","13.1%"
"O'Brien County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","963","21.6%","24.3%","51.5%","2.6%","9,880","4.3%","4.3%","38.7%","21.7%","11.6%","14.7%","4.7%","91.4%","19.5%","1,462","98.1%","22.1%","1,510","92.0%","27.3%","4,006","95.2%","19.0%","2,902","82.7%","14.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","540","34.1%","23.5%","41.5%","0.9%","4,756","4.4%","4.5%","39.9%","22.9%","9.5%","12.1%","6.9%","91.1%","18.9%","798","97.5%","18.0%","757","95.0%","22.5%","1,978","94.9%","18.3%","1,223","78.5%","18.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","423","5.7%","25.3%","64.3%","4.7%","5,124","4.2%","4.1%","37.6%","20.6%","13.6%","17.2%","2.7%","91.7%","19.9%","664","98.8%","27.0%","753","89.0%","32.1%","2,028","95.4%","19.8%","1,679","85.7%","11.9%"
"Osceola County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","420","22.4%","46.2%","25.0%","6.4%","4,438","5.6%","7.3%","39.2%","22.8%","10.8%","11.9%","2.5%","87.2%","14.4%","742","81.3%","15.8%","661","95.3%","10.4%","1,784","93.2%","16.4%","1,251","77.7%","12.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","229","29.3%","48.5%","17.9%","4.4%","2,169","6.6%","6.1%","44.6%","20.0%","8.7%","11.0%","3.1%","87.3%","14.1%","398","83.7%","13.1%","316","99.7%","7.3%","913","92.8%","16.4%","542","73.6%","14.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","191","14.1%","43.5%","33.5%","8.9%","2,269","4.6%","8.4%","34.0%","25.4%","12.8%","12.9%","1.9%","87.0%","14.8%","344","78.5%","18.9%","345","91.3%","13.3%","871","93.7%","16.4%","709","80.8%","11.4%"
"Page County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,069","28.6%","35.5%","28.3%","7.6%","11,327","3.6%","7.7%","36.2%","22.4%","11.9%","12.9%","5.4%","88.7%","18.3%","1,840","84.7%","22.8%","1,875","92.0%","22.9%","4,470","91.0%","17.1%","3,142","85.9%","14.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","584","30.7%","37.7%","30.5%","1.2%","5,759","4.4%","9.4%","34.9%","24.0%","11.2%","11.4%","4.7%","86.2%","16.1%","997","81.2%","18.7%","1,087","89.0%","16.0%","2,336","88.9%","15.2%","1,339","83.0%","15.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","485","26.2%","33.0%","25.6%","15.3%","5,568","2.8%","5.9%","37.5%","20.8%","12.5%","14.4%","6.1%","91.3%","20.5%","843","88.7%","27.8%","788","96.2%","32.5%","2,134","93.2%","19.1%","1,803","88.0%","13.5%"
"Palo Alto County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","874","7.9%","17.5%","62.5%","12.1%","6,370","2.9%","5.2%","33.3%","24.1%","16.2%","14.3%","4.0%","91.9%","18.3%","984","97.2%","30.4%","952","95.4%","18.7%","2,495","94.8%","19.0%","1,939","83.8%","10.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","471","6.4%","20.4%","58.8%","14.4%","3,102","4.4%","5.5%","35.0%","22.6%","15.2%","14.1%","3.2%","90.1%","17.2%","504","96.8%","23.4%","509","91.4%","15.7%","1,282","93.6%","17.4%","807","79.6%","14.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","403","9.7%","14.1%","66.7%","9.4%","3,268","1.5%","4.9%","31.6%","25.6%","17.1%","14.5%","4.7%","93.6%","19.3%","480","97.5%","37.7%","443","100.0%","22.1%","1,213","96.1%","20.8%","1,132","86.7%","8.7%"
"Plymouth County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,616","14.6%","31.9%","46.5%","6.9%","16,905","4.3%","3.4%","36.4%","24.6%","11.3%","14.9%","5.1%","92.3%","20.0%","2,607","92.7%","24.7%","2,857","95.3%","28.4%","7,128","95.7%","21.0%","4,313","84.3%","10.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","832","18.8%","38.9%","34.3%","8.1%","8,236","5.1%","3.5%","37.3%","25.2%","11.1%","12.4%","5.3%","91.4%","17.7%","1,294","93.0%","17.9%","1,464","92.5%","24.9%","3,612","96.1%","18.4%","1,866","80.2%","10.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","784","10.2%","24.5%","59.6%","5.7%","8,669","3.5%","3.4%","35.4%","23.9%","11.6%","17.2%","5.0%","93.1%","22.2%","1,313","92.4%","31.5%","1,393","98.2%","32.0%","3,516","95.3%","23.7%","2,447","87.4%","9.5%"
"Pocahontas County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","496","7.5%","33.7%","47.4%","11.5%","5,127","2.6%","4.5%","39.3%","22.1%","13.2%","14.8%","3.4%","92.9%","18.2%","646","89.0%","17.0%","681","95.0%","23.6%","2,200","95.5%","19.2%","1,600","89.9%","15.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","258","11.6%","30.6%","52.3%","5.4%","2,522","3.1%","5.7%","41.2%","21.3%","12.1%","13.2%","3.5%","91.3%","16.7%","332","88.9%","16.6%","335","95.5%","15.2%","1,145","94.8%","16.2%","710","84.6%","18.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","238","2.9%","37.0%","42.0%","18.1%","2,605","2.2%","3.4%","37.5%","22.9%","14.2%","16.4%","3.4%","94.4%","19.8%","314","89.2%","17.5%","346","94.5%","31.8%","1,055","96.1%","22.5%","890","94.2%","12.7%"
"Polk County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,335","13.1%","29.0%","43.2%","14.8%","291,895","3.2%","4.8%","25.7%","20.8%","10.0%","24.7%","10.7%","91.9%","35.4%","70,295","93.0%","40.5%","60,714","91.9%","40.1%","111,040","92.9%","34.0%","49,846","88.1%","25.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,789","15.2%","32.4%","38.9%","13.5%","141,115","3.1%","5.2%","25.8%","20.9%","9.3%","24.9%","10.7%","91.7%","35.6%","35,037","92.5%","36.2%","30,627","91.3%","38.0%","54,298","92.5%","34.4%","21,153","88.8%","34.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,546","11.1%","25.6%","47.3%","16.0%","150,780","3.4%","4.5%","25.5%","20.8%","10.7%","24.5%","10.6%","92.1%","35.1%","35,258","93.6%","44.8%","30,087","92.6%","42.3%","56,742","93.4%","33.6%","28,693","87.5%","18.8%"
"Pottawattamie County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,640","14.3%","31.2%","46.8%","7.8%","62,262","3.3%","7.1%","35.6%","23.8%","10.5%","14.4%","5.3%","89.6%","19.7%","11,729","90.7%","23.8%","10,906","90.5%","24.3%","25,805","91.0%","19.2%","13,822","85.5%","13.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,430","15.3%","39.4%","41.1%","4.2%","29,915","3.9%","7.8%","37.3%","22.6%","9.8%","14.1%","4.6%","88.3%","18.7%","5,858","89.1%","19.1%","5,505","88.2%","20.1%","12,649","89.1%","19.4%","5,903","86.1%","15.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,210","13.2%","22.5%","52.8%","11.5%","32,347","2.7%","6.5%","34.0%","25.0%","11.2%","14.6%","6.0%","90.8%","20.6%","5,871","92.3%","28.6%","5,401","92.9%","28.5%","13,156","92.9%","19.0%","7,919","85.1%","12.2%"
"Poweshiek County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,637","7.1%","13.8%","74.8%","4.2%","12,192","2.4%","5.6%","35.8%","21.2%","9.5%","16.4%","9.1%","92.0%","25.4%","1,799","93.0%","27.1%","1,848","97.5%","31.5%","5,020","93.3%","23.4%","3,525","86.8%","24.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,217","10.8%","17.3%","66.1%","5.7%","5,790","3.3%","6.2%","37.5%","19.1%","8.4%","16.1%","9.4%","90.5%","25.5%","900","91.2%","21.8%","925","96.8%","31.6%","2,449","91.0%","22.4%","1,516","85.5%","29.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,420","3.9%","10.8%","82.3%","3.0%","6,402","1.6%","5.0%","34.3%","23.2%","10.5%","16.6%","8.7%","93.4%","25.3%","899","94.8%","32.4%","923","98.2%","31.5%","2,571","95.6%","24.3%","2,009","87.7%","20.6%"
"Ringgold County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","307","16.3%","27.0%","45.3%","11.4%","3,554","6.0%","6.0%","37.2%","21.5%","10.4%","12.7%","6.2%","88.0%","18.9%","459","88.5%","24.4%","473","89.4%","27.3%","1,381","90.5%","22.7%","1,241","84.4%","9.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","154","22.1%","37.7%","26.6%","13.6%","1,679","7.6%","6.0%","38.8%","19.1%","11.0%","10.8%","6.6%","86.4%","17.5%","234","80.3%","19.7%","243","94.7%","24.7%","681","86.6%","20.3%","521","84.8%","9.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
